Date,Title,Url,Content,Google_noti,Xml_url,Content_tokens,Content_tokens_no_stop
"March 25, 2025 at 06:06AM","""자기 순번도 아닌데.."" 눈물당직 바꿔주고 갔다가 참변 / SBS 특집 8뉴스 - YouTube",https://www.youtube.com/watch?v=Q3xBoAJvO4A,... sbs.co.kr/y/i/?id=10000056672 SBS뉴스 8뉴스 TV네트워크 산불 합동분향소산청 ▷SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr/youtube ♨지금&nbsp;...,Google 알리미 - sbs,https://www.google.com/alerts/feeds/04099981309852891625/6712470744904995113,"['...', 'sbs.co.kr/y/i/?id=10000056672', 'SBS', '뉴스', '8', '뉴스', 'TV', '네트워크', '산불', '합동', '분향소', '산청', '▷', 'SBS', '뉴스', '채널', '구독', '하다', ':', 'https://n.sbs.co.kr/youtube', '♨', '지금', '&', 'nbsp', ';...']","['...', 'sbs.co.kr/y/i/?id=10000056672', 'SBS', '뉴스', '8', '뉴스', 'TV', '네트워크', '산불', '합동', '분향소', '산청', '▷', 'SBS', '뉴스', '채널', '구독', ':', 'https://n.sbs.co.kr/youtube', '♨', '지금', '&', 'nbsp', ';...']"
"March 25, 2025 at 06:21AM",모닝와이드 오늘의 주요뉴스 / SBS - YouTube,https://www.youtube.com/watch?v=XaGSwHuP9PA,... sbs.co.kr/y/?id=N1008033912 SBS뉴스 모닝와이드 의성 산불 안동 현대 현대차 한덕수 기각 ▷SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr&nbsp;...,Google 알리미 - sbs,https://www.google.com/alerts/feeds/04099981309852891625/6712470744904995113,"['...', 'sbs.co.kr/y/?id=N1008033912', 'SBS', '뉴스', '모닝와이드', '의성', '산불', '안동', '현대', '현대차', '한덕수', '기각', '▷', 'SBS', '뉴스', '채널', '구독', '하다', ':', 'https://n.sbs.co.kr', '&', 'nbsp', ';...']","['...', 'sbs.co.kr/y/?id=N1008033912', 'SBS', '뉴스', '모닝와이드', '의성', '산불', '안동', '현대', '현대차', '한덕수', '기각', '▷', 'SBS', '뉴스', '채널', '구독', ':', 'https://n.sbs.co.kr', '&', 'nbsp', ';...']"
"March 25, 2025 at 06:29AM",울주군 산불 나흘째오늘25일 오전 진화 '총력전' / SBS - YouTube,https://www.youtube.com/watch?v=0RyZ866aysA,... sbs.co.kr/y/?id=N1008033889 SBS뉴스 모닝와이드 바람 강풍 산불 진화 화재 대형화재 의성 ▷SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr&nbsp;...,Google 알리미 - sbs,https://www.google.com/alerts/feeds/04099981309852891625/6712470744904995113,"['...', 'sbs.co.kr/y/?id=N1008033889', 'SBS', '뉴스', '모닝와이드', '바람', '강풍', '산불', '진화', '화재', '대형', '화재', '의성', '▷', 'SBS', '뉴스', '채널', '구독', '하다', ':', 'https://n.sbs.co.kr', '&', 'nbsp', ';...']","['...', 'sbs.co.kr/y/?id=N1008033889', 'SBS', '뉴스', '모닝와이드', '바람', '강풍', '산불', '진화', '화재', '대형', '화재', '의성', '▷', 'SBS', '뉴스', '채널', '구독', ':', 'https://n.sbs.co.kr', '&', 'nbsp', ';...']"
"March 25, 2025 at 06:34AM",한덕수 탄핵소추 기각기각 5 · 인용 1 · 각하 2 / SBS - YouTube,https://www.youtube.com/watch?v=se54nxn_oyU,... sbs.co.kr/y/?id=N1008033891 SBS뉴스 모닝와이드 기각 한덕수 헌법재판소 탄핵소추 ▷SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr/youtube ♨지금&nbsp;...,Google 알리미 - sbs,https://www.google.com/alerts/feeds/04099981309852891625/6712470744904995113,"['...', 'sbs.co.kr/y/?id=N1008033891', 'SBS', '뉴스', '모닝와이드', '기각', '한덕수', '헌법재판소', '탄핵', '소', '추', '▷', 'SBS', '뉴스', '채널', '구독', '하다', ':', 'https://n.sbs.co.kr/youtube', '♨', '지금', '&', 'nbsp', ';...']","['...', 'sbs.co.kr/y/?id=N1008033891', 'SBS', '뉴스', '모닝와이드', '기각', '한덕수', '헌법재판소', '탄핵', '소', '추', '▷', 'SBS', '뉴스', '채널', '구독', ':', 'https://n.sbs.co.kr/youtube', '♨', '지금', '&', 'nbsp', ';...']"
"March 25, 2025 at 06:34AM",강풍 타고 안동까지 번져국가동원령 추가 발령 / SBS - YouTube,https://www.youtube.com/watch?v=neClyNXNcEY,... sbs.co.kr/y/?id=N1008033887 SBS뉴스 모닝와이드 산불 대형화재 화재 안동 의성 ▷SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr/youtube ♨지금&nbsp;...,Google 알리미 - sbs,https://www.google.com/alerts/feeds/04099981309852891625/6712470744904995113,"['...', 'sbs.co.kr/y/?id=N1008033887', 'SBS', '뉴스', '모닝와이드', '산불', '대형', '화재', '화재', '안동', '의성', '▷', 'SBS', '뉴스', '채널', '구독', '하다', ':', 'https://n.sbs.co.kr/youtube', '♨', '지금', '&', 'nbsp', ';...']","['...', 'sbs.co.kr/y/?id=N1008033887', 'SBS', '뉴스', '모닝와이드', '산불', '대형', '화재', '화재', '안동', '의성', '▷', 'SBS', '뉴스', '채널', '구독', ':', 'https://n.sbs.co.kr/youtube', '♨', '지금', '&', 'nbsp', ';...']"
"March 25, 2025 at 06:35AM","진화율 85%, 오늘이 최대 고비이 시각 산청 / SBS - YouTube",https://www.youtube.com/watch?v=R19ULww3k1s,... sbs.co.kr/y/?id=N1008033888 SBS뉴스 모닝와이드 진화율 화재 산불 산청 의성 ▷SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr/youtube ♨지금&nbsp;...,Google 알리미 - sbs,https://www.google.com/alerts/feeds/04099981309852891625/6712470744904995113,"['...', 'sbs.co.kr/y/?id=N1008033888', 'SBS', '뉴스', '모닝와이드', '진화', '율', '화재', '산불', '산청', '의성', '▷', 'SBS', '뉴스', '채널', '구독', '하다', ':', 'https://n.sbs.co.kr/youtube', '♨', '지금', '&', 'nbsp', ';...']","['...', 'sbs.co.kr/y/?id=N1008033888', 'SBS', '뉴스', '모닝와이드', '진화', '율', '화재', '산불', '산청', '의성', '▷', 'SBS', '뉴스', '채널', '구독', ':', 'https://n.sbs.co.kr/youtube', '♨', '지금', '&', 'nbsp', ';...']"
"March 25, 2025 at 06:35AM",비상계엄 적법성 · 내란죄 철회' 판단 없었다 / SBS - YouTube,https://www.youtube.com/watch?v=jvGNIB1jPuw,... sbs.co.kr/y/i/?id=10000058872 SBS뉴스 모닝와이드 기각 한덕수 헌법재판소 탄핵소추 비상계엄 ▷SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr&nbsp;...,Google 알리미 - sbs,https://www.google.com/alerts/feeds/04099981309852891625/6712470744904995113,"['...', 'sbs.co.kr/y/i/?id=10000058872', 'SBS', '뉴스', '모닝와이드', '기각', '한덕수', '헌법재판소', '탄핵', '소', '추', '비상계엄', '▷', 'SBS', '뉴스', '채널', '구독', '하다', ':', 'https://n.sbs.co.kr', '&', 'nbsp', ';...']","['...', 'sbs.co.kr/y/i/?id=10000058872', 'SBS', '뉴스', '모닝와이드', '기각', '한덕수', '헌법재판소', '탄핵', '소', '추', '비상계엄', '▷', 'SBS', '뉴스', '채널', '구독', ':', 'https://n.sbs.co.kr', '&', 'nbsp', ';...']"
"March 25, 2025 at 06:41AM",땅 속으로 빨려 들어가듯'땅 꺼짐' 1명 실종 / SBS - YouTube,https://www.youtube.com/watch?v=NbN82Jwbnp8,... sbs.co.kr/y/?id=N1008033890 SBS뉴스 모닝와이드 강동구 땅꺼짐 싱크홀 실종 ▷SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr/youtube ♨지금&nbsp;...,Google 알리미 - sbs,https://www.google.com/alerts/feeds/04099981309852891625/6712470744904995113,"['...', 'sbs.co.kr/y/?id=N1008033890', 'SBS', '뉴스', '모닝와이드', '강동구', '땅', '꺼지다', '싱크홀', '실종', '▷', 'SBS', '뉴스', '채널', '구독', '하다', ':', 'https://n.sbs.co.kr/youtube', '♨', '지금', '&', 'nbsp', ';...']","['...', 'sbs.co.kr/y/?id=N1008033890', 'SBS', '뉴스', '모닝와이드', '강동구', '땅', '꺼지다', '싱크홀', '실종', '▷', 'SBS', '뉴스', '채널', '구독', ':', 'https://n.sbs.co.kr/youtube', '♨', '지금', '&', 'nbsp', ';...']"
"March 25, 2025 at 06:44AM",87일 만에 직무 복귀트럼프와 통화 추진 / SBS - YouTube,https://www.youtube.com/watch?v=02QyCfVHgI8,... sbs.co.kr/y/?id=N1008033893 SBS뉴스 모닝와이드 기각 한덕수 헌법재판소 탄핵소추 총리 직무복귀 ▷SBS 뉴스 채널 구독하기 : https://n.sbs&nbsp;...,Google 알리미 - sbs,https://www.google.com/alerts/feeds/04099981309852891625/6712470744904995113,"['...', 'sbs.co.kr/y/?id=N1008033893', 'SBS', '뉴스', '모닝와이드', '기각', '한덕수', '헌법재판소', '탄핵', '소', '추', '총리', '직무', '복귀', '▷', 'SBS', '뉴스', '채널', '구독', '하다', ':', 'https://n.sbs', '&', 'nbsp', ';...']","['...', 'sbs.co.kr/y/?id=N1008033893', 'SBS', '뉴스', '모닝와이드', '기각', '한덕수', '헌법재판소', '탄핵', '소', '추', '총리', '직무', '복귀', '▷', 'SBS', '뉴스', '채널', '구독', ':', 'https://n.sbs', '&', 'nbsp', ';...']"
"March 25, 2025 at 06:46AM",관세 '예외 시사'에 반색미국 증시 일제 상승 / SBS - YouTube,https://www.youtube.com/watch?v=8wQ6NCxPQkg,... sbs.co.kr/y/i/?id=10000059073 SBS뉴스 모닝와이드 트럼프 관세 상호관세 미국 증시 ▷SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr/youtube&nbsp;...,Google 알리미 - sbs,https://www.google.com/alerts/feeds/04099981309852891625/6712470744904995113,"['...', 'sbs.co.kr/y/i/?id=10000059073', 'SBS', '뉴스', '모닝와이드', '트럼프', '관세', '상호', '관세', '미국', '증시', '▷', 'SBS', '뉴스', '채널', '구독', '하다', ':', 'https://n.sbs.co.kr/youtube&nbsp', ';...']","['...', 'sbs.co.kr/y/i/?id=10000059073', 'SBS', '뉴스', '모닝와이드', '트럼프', '관세', '상호', '관세', '미국', '증시', '▷', 'SBS', '뉴스', '채널', '구독', ':', 'https://n.sbs.co.kr/youtube&nbsp', ';...']"
